source_json,match_id,competition,season,round,home_team,away_team,team_id,team,team_abbreviation,qualifier,ball_possession,carries,clean_breaks,conversions,drop_goals,lineouts_won,meters_run,offloads,passes,penalties_conceded,penalty_goals,red_cards,scrums_lost,scrums_won,tackle_missed,tackles,total_scrums,tries,try_assist,turnovers_won,yellow_cards
super_rugby_2026_hurricanes_vs_moana_pasifika_65866100.json,sr:sport_event:65866100,Super Rugby,Super Rugby 2026,2,Hurricanes,Moana Pasifika,sr:competitor:4189,Hurricanes,HUR,home,46,143,18,6,0,10,711,20,214,8,0,0,0,4,10,167,4,8,8,8,0
super_rugby_2026_hurricanes_vs_moana_pasifika_65866100.json,sr:sport_event:65866100,Super Rugby,Super Rugby 2026,2,Hurricanes,Moana Pasifika,sr:competitor:761406,Moana Pasifika,MOA,away,54,118,6,0,0,7,299,7,147,6,0,0,0,12,34,132,12,2,1,8,0
super_rugby_2026_waratahs_vs_fijian_drua_65866102.json,sr:sport_event:65866102,Super Rugby,Super Rugby 2026,2,Waratahs,Fijian Drua,sr:competitor:4186,Waratahs,WAR,home,53,136,9,3,0,14,503,13,207,10,0,0,0,9,15,110,9,6,3,5,0
super_rugby_2026_waratahs_vs_fijian_drua_65866102.json,sr:sport_event:65866102,Super Rugby,Super Rugby 2026,2,Waratahs,Fijian Drua,sr:competitor:364712,Fijian Drua,FID,away,47,81,6,1,0,10,248,5,103,11,2,0,1,5,22,138,6,1,1,8,0
super_rugby_2026_waratahs_vs_reds_65866092.json,sr:sport_event:65866092,Super Rugby,Super Rugby 2026,1,Waratahs,Reds,sr:competitor:4180,Reds,RED,away,41,115,5,1,0,11,433,8,147,17,0,0,1,3,13,195,4,2,1,5,1
super_rugby_2026_waratahs_vs_reds_65866092.json,sr:sport_event:65866092,Super Rugby,Super Rugby 2026,1,Waratahs,Reds,sr:competitor:4186,Waratahs,WAR,home,59,155,6,4,0,18,644,11,200,9,1,0,0,5,19,131,5,5,3,7,0
super_rugby_2026_western_force_vs_blues_65866106.json,sr:sport_event:65866106,Super Rugby,Super Rugby 2026,2,Western Force,Blues,sr:competitor:4190,Blues,BLU,away,51,98,7,6,0,13,349,6,140,7,0,0,0,5,21,174,5,6,5,6,0
super_rugby_2026_western_force_vs_blues_65866106.json,sr:sport_event:65866106,Super Rugby,Super Rugby 2026,2,Western Force,Blues,sr:competitor:21995,Western Force,WFO,home,49,145,3,3,0,10,361,7,179,11,2,0,1,10,21,135,10,4,1,3,1
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,Super Rugby,Super Rugby 2026,1,Western Force,Brumbies,sr:competitor:4179,Brumbies,BRU,away,47,128,7,8,0,13,514,4,135,10,0,0,2,3,10,8,5,8,5,3,1
super_rugby_2026_western_force_vs_brumbies_65866098.json,sr:sport_event:65866098,Super Rugby,Super Rugby 2026,1,Western Force,Brumbies,sr:competitor:21995,Western Force,WFO,home,53,154,1,3,0,13,410,4,222,8,1,0,1,2,23,3,3,3,0,3,0
